Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
111	:	1759167326.664	    41.869	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal110 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal110.out 2> timings_z1.0/gal110.time
19	:	1759167211.535	   160.334	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal18 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal18.out 2> timings_z1.0/gal18.time
33	:	1759167211.561	   161.409	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal32 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal32.out 2> timings_z1.0/gal32.time
121	:	1759167338.531	    34.976	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal120 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal120.out 2> timings_z1.0/gal120.time
122	:	1759167338.725	    34.894	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal121 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal121.out 2> timings_z1.0/gal121.time
75	:	1759167215.217	   164.561	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal74 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal74.out 2> timings_z1.0/gal74.time
146	:	1759167368.513	    11.750	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal145 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal145.out 2> timings_z1.0/gal145.time
74	:	1759167215.214	   167.424	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal73 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal73.out 2> timings_z1.0/gal73.time
44	:	1759167211.583	   171.430	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal43 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal43.out 2> timings_z1.0/gal43.time
99	:	1759167306.817	    76.325	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal98 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal98.out 2> timings_z1.0/gal98.time
92	:	1759167297.181	    91.614	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal91 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal91.out 2> timings_z1.0/gal91.time
36	:	1759167211.567	   177.555	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal35 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal35.out 2> timings_z1.0/gal35.time
116	:	1759167331.317	    58.243	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal115 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal115.out 2> timings_z1.0/gal115.time
89	:	1759167295.500	    94.068	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal88 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal88.out 2> timings_z1.0/gal88.time
104	:	1759167317.547	    72.864	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal103 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal103.out 2> timings_z1.0/gal103.time
148	:	1759167371.876	    19.465	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal147 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal147.out 2> timings_z1.0/gal147.time
133	:	1759167355.525	    35.881	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal132 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal132.out 2> timings_z1.0/gal132.time
143	:	1759167366.881	    26.654	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal142 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal142.out 2> timings_z1.0/gal142.time
109	:	1759167321.600	    72.236	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal108 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal108.out 2> timings_z1.0/gal108.time
50	:	1759167211.595	   182.934	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal49 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal49.out 2> timings_z1.0/gal49.time
